W18 SOAK-MECHANISM DESK: decode-window thermal vs banked tps (P1 log mining)

tp/s vs die-3 (0D:00) clock state during the decode window:
  tps >= 23.2  <->  c2 act-mean >= ~1190, c2 low-band (<=991 MHz) duty ~0-20%
  tps 19.5-20.3 <-> c2 act-mean 1142-1211, c2 low-band duty 18-41%
  tps 17.4-17.7 <-> c2 act-mean 1068-1135, c2 low-band duty 44-53% (775/560 pins)
  hot-but-unthrottled 10k cells (c2 duty 0%) decode 21.8-22.5 even at mem 83-88 C

cell                      tps      win_s |   sclk act-mean c0/c1/c2 | c2<=991 | edge c2 | junc c0/c2 | mem c0/c2 | mem max c0/c1/c2
hb_p0a  ub512 pos1      23.33   10-85    |   1254/  1292/  1192      |    14% |     57-72 |   62/  62 |   57/  63 |  71/ 69/ 80
hb_p1a  ub1024 pos2     19.85   10-87    |   1148/  1166/  1068      |    50% |     78-85 |   77/  83 |   73/  85 |  80/ 78/ 93
hb_p0b  ub512 pos3      17.35   10-94    |   1275/  1269/  1072      |    53% |     79-85 |   79/  85 |   74/  85 |  83/ 81/ 92
hb_p1b  ub1024 pos4     17.71   10-90    |   1235/  1271/  1135      |    44% |     79-85 |   79/  84 |   74/  85 |  82/ 82/ 91
cw_regress_200k pos1    22.86   10-95    |   1293/  1336/  1290      |     0% |     60-77 |   65/  65 |   61/  67 |  74/ 73/ 86
cw_iq4xs_200k pos2      20.19   10-95    |   1186/  1244/  1142      |    41% |     76-85 |   75/  81 |   71/  82 |  79/ 78/ 93
cw_s2r5x_200k pos3      19.57   10-95    |   1351/  1342/  1180      |    18% |     76-85 |   75/  81 |   71/  82 |  80/ 78/ 92
cw_chan4_200k pos4      20.29   10-95    |   1292/  1334/  1211      |    24% |     77-85 |   76/  82 |   71/  83 |  80/ 78/ 92
cw_regress_10k          22.46   31-57    |   1269/  1262/  1217      |     0% |     78-82 |   77/  83 |   74/  84 |  75/ 72/ 87
cw_iq4xs_10k            22.52   31-57    |   1203/  1160/  1279      |     0% |     78-83 |   79/  84 |   76/  85 |  78/ 76/ 88
cw_s2r5x_10k            22.51   31-57    |   1230/  1259/  1230      |    20% |     79-83 |   79/  85 |   75/  85 |  77/ 76/ 89
cw_chan4_10k            21.80   26-52    |   1256/  1220/  1256      |     0% |     76-81 |   76/  81 |   74/  83 |  76/ 73/ 87
cw_s0a_10k              22.98   26-52    |   1135/  1259/  1291      |     0% |     75-79 |   74/  80 |   70/  81 |  73/ 70/ 84
cw_s0b_10k              23.51   26-52    |   1158/  1275/  1301      |     0% |     57-61 |   61/  62 |   59/  65 |  62/ 60/ 68
cw_dc0_10k              23.64   26-52    |   1177/  1275/  1203      |    20% |     54-59 |   60/  59 |   57/  61 |  60/ 56/ 65
cw_dc1_10k              23.25   26-52    |   1237/  1223/  1233      |     0% |     64-69 |   65/  69 |   63/  71 |  67/ 63/ 75
cw_dc0b_10k             23.32   26-52    |   1230/  1410/  1331      |     0% |     69-73 |   68/  74 |   66/  76 |  69/ 67/ 79
cw_dc1b_10k             23.23   26-52    |   1233/  1318/  1233      |     0% |     72-76 |   70/  77 |   67/  78 |  70/ 67/ 81
