"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",4,0,0,150034,150034,3584,256,0,0,12,0,32,64,"0x0","0x78a6425a5740",7173382667889,7173382765813,7173382773220,7173382783302,7407
1,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,0,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173385777157,7173385791054,7173385814609,7173385819753,23555
2,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,1,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173385784674,7173385814609,7173385838016,7173385840002,23407
3,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,2,150034,150034,28416,256,22528,1104,128,0,64,64,"0x0","0x78a506387e00",7173386737927,7173387159458,7173387867881,7173388413195,708423
4,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,3,150034,150034,6144,256,512,0,20,0,32,64,"0x0","0x78a506387cc0",7173386743703,7173387867881,7173387889065,7173388425394,21184
5,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,4,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386747193,7173387889065,7173387912620,7173388428346,23555
6,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,5,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386750352,7173387912620,7173387935434,7173388430558,22814
7,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,6,150034,150034,21504,384,32768,1432,128,0,48,64,"0x0","0x78a506387e80",7173386770462,7173388542379,7173389081770,7173389165866,539391
8,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,7,150034,150034,6144,256,512,0,20,0,32,64,"0x0","0x78a506387cc0",7173386773072,7173389185471,7173389212877,7173389223397,27406
9,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,8,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386775520,7173389212877,7173389236136,7173389254264,23259
10,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,9,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386777651,7173389236136,7173389259394,7173389262445,23258
11,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,10,150034,150034,28416,256,22528,1104,128,0,64,64,"0x0","0x78a506387e00",7173386780802,7173389469018,7173390179515,7173390263127,710497
12,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,11,150034,150034,6144,256,512,0,20,0,32,64,"0x0","0x78a506387cc0",7173386782979,7173390179515,7173390200551,7173390276090,21036
13,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,12,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386784911,7173390200551,7173390223810,7173390278298,23259
14,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,13,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386786634,7173390223810,7173390246772,7173390279900,22962
15,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,14,150034,150034,21504,384,32768,1432,128,0,48,64,"0x0","0x78a506387e80",7173386789229,7173390456988,7173390998453,7173391088877,541465
16,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,15,150034,150034,6144,256,512,0,20,0,32,64,"0x0","0x78a506387cc0",7173386791235,7173391100376,7173391128819,7173391139457,28443
17,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,16,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386793121,7173391128819,7173391152374,7173391169512,23555
18,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,17,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386794715,7173391152374,7173391175336,7173391199688,22962
