"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",4,0,0,149960,149960,3584,256,0,0,12,0,32,64,"0x0","0x7dde218bd740",7172727732073,7172727819689,7172727827245,7172727844313,7556
1,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,0,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172730941438,7172730992786,7172731096932,7172731145335,104146
2,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,1,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172730948845,7172731096932,7172731198707,7172731204369,101775
3,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,2,149960,149960,28416,256,22528,1104,128,0,64,64,"0x0","0x7ddd5e587e00",7172731942754,7172732364749,7172733076285,7172733579233,711536
4,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,3,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172731948730,7172733076285,7172733097914,7172733584349,21629
5,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,4,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172731952635,7172733097914,7172733121617,7172733586458,23703
6,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,5,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172731955614,7172733121617,7172733144431,7172733588400,22814
7,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,6,149960,149960,21504,384,32768,1432,128,0,48,64,"0x0","0x7ddd5e587e80",7172731974166,7172733750637,7172734292548,7172734376534,541911
8,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,7,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172731976559,7172734393286,7172734419507,7172734430009,26221
9,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,8,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172731978739,7172734419507,7172734443062,7172734460173,23555
10,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,9,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172731981108,7172734443062,7172734466469,7172734494430,23407
11,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,10,149960,149960,28416,256,22528,1104,128,0,64,64,"0x0","0x7ddd5e587e00",7172731984133,7172734676537,7172735386147,7172735464347,709610
12,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,11,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172731986186,7172735386147,7172735408221,7172735474997,22074
13,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,12,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172731988190,7172735408221,7172735431628,7172735477224,23407
14,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,13,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172731989855,7172735431628,7172735454442,7172735478861,22814
15,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,14,149960,149960,21504,384,32768,1432,128,0,48,64,"0x0","0x7ddd5e587e80",7172731992376,7172735664806,7172736204051,7172736280725,539245
16,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,15,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172731994871,7172736307604,7172736335307,7172736345491,27703
17,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,16,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172731996616,7172736335307,7172736358565,7172736375614,23258
18,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,17,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172731998380,7172736358565,7172736381824,7172736404505,23259
