"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",4,0,0,149894,149894,3584,256,0,0,12,0,32,64,"0x0","0x77a57d2b5740",7172069011863,7172069077356,7172069084467,7172069095251,7111
1,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,0,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172072128807,7172072157869,7172072261867,7172072268511,103998
2,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,1,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172072135812,7172072261867,7172072363642,7172072369730,101775
3,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,2,149894,149894,28416,256,22528,1104,128,0,64,64,"0x0","0x77a4ba787e00",7172073085284,7172073507909,7172074209373,7172074731875,701464
4,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,3,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172073091391,7172074209373,7172074231150,7172074744536,21777
5,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,4,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172073095115,7172074231150,7172074254557,7172074747382,23407
6,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,5,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172073098657,7172074254557,7172074277519,7172074749441,22962
7,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,6,149894,149894,21504,384,32768,1432,128,0,48,64,"0x0","0x77a4ba787e80",7172073117260,7172074884467,7172075424157,7172075511008,539690
8,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,7,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172073119934,7172075527117,7172075555264,7172075565008,28147
9,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,8,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172073122448,7172075555264,7172075578819,7172075595200,23555
10,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,9,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172073124407,7172075578819,7172075601930,7172075629752,23111
11,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,10,149894,149894,28416,256,22528,1104,128,0,64,64,"0x0","0x77a4ba787e00",7172073127905,7172075811850,7172076520573,7172076605733,708723
12,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,11,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172073130067,7172076520573,7172076541462,7172076616873,20889
13,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,12,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172073132111,7172076541462,7172076565313,7172076619025,23851
14,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,13,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172073133889,7172076565313,7172076588868,7172076620691,23555
