"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",4,0,0,70188,70188,3584,256,0,0,12,0,32,64,"0x0","0x76bb8b99d740",3897177707929,3897177799343,3897177806454,3897177816586,7111
1,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,0,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897180921331,3897180952262,3897181056110,3897181063052,103848
2,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,1,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897180928677,3897181056110,3897181157884,3897181163724,101774
3,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,2,70188,70188,28416,256,22528,1104,128,0,64,64,"0x0","0x76baa4d869c0",3897181712373,3897182133404,3897182815008,3897183375869,681604
4,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,3,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897181717934,3897182815008,3897182836785,3897183386323,21777
5,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,4,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181722212,3897182836785,3897182859895,3897183389292,23110
6,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,5,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181725444,3897182859895,3897182882709,3897183391489,22814
7,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,6,70188,70188,21504,384,32768,1432,128,0,48,64,"0x0","0x76baa4d86a40",3897181749536,3897183489205,3897184006816,3897184113929,517611
8,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,7,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897181751999,3897184132589,3897184160588,3897184168759,27999
9,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,8,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181754360,3897184160588,3897184183846,3897184199191,23258
10,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,9,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181756183,3897184183846,3897184207105,3897184234076,23259
11,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,10,70188,70188,28416,256,22528,1104,128,0,64,64,"0x0","0x76baa4d869c0",3897181759274,3897184416875,3897185091516,3897185170842,674641
12,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,11,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897181761500,3897185091516,3897185112701,3897185182460,21185
13,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,12,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181763552,3897185112701,3897185135959,3897185184710,23258
14,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,13,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181766331,3897185135959,3897185159366,3897185186302,23407
15,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,14,70188,70188,21504,384,32768,1432,128,0,48,64,"0x0","0x76baa4d86a40",3897181769920,3897185369580,3897185887931,3897185919081,518351
16,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,15,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897181771985,3897185959336,3897185986002,3897185997059,26666
17,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,16,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181773951,3897185986002,3897186009705,3897186029534,23703
18,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,17,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181775573,3897186009705,3897186032963,3897186059478,23258
19,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,18,70188,70188,28416,256,22528,1104,128,0,64,64,"0x0","0x76baa4d869c0",3897181777766,3897186242881,3897186923745,3897186959066,680864
20,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,19,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897181779811,3897186923745,3897186944781,3897186965206,21036
21,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,20,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181781637,3897186944781,3897186968336,3897186994407,23555
22,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,21,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181783139,3897186968336,3897186991594,3897186996063,23258
23,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,22,70188,70188,21504,384,32768,1432,128,0,48,64,"0x0","0x76baa4d86a40",3897181785642,3897187201957,3897187738085,3897187819656,536128
24,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,23,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897181787571,3897187853785,3897187880746,3897187889129,26961
25,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,24,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181789263,3897187880746,3897187904597,3897187918837,23851
26,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,25,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181790778,3897187904597,3897187927856,3897187947875,23259
27,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,26,70188,70188,28416,256,22528,1104,128,0,64,64,"0x0","0x76baa4d869c0",3897181792957,3897188137774,3897188845452,3897188942849,707678
28,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,27,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897181794629,3897188845452,3897188866340,3897188954857,20888
29,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,28,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181796405,3897188866340,3897188889598,3897188961247,23258
30,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,29,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897181798085,3897188889598,3897188913005,3897188962986,23407
31,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,30,70188,70188,21504,384,32768,1432,128,0,48,64,"0x0","0x76baa4d86a40",3897181800378,3897189123515,3897189661569,3897189695729,538054
