"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",4,0,0,70254,70254,3584,256,0,0,12,0,32,64,"0x0","0x79e5e2285740",3897823117925,3897823182608,3897823189274,3897823199739,6666
1,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,0,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897826198868,3897826227825,3897826331821,3897826338148,103996
2,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,1,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897826206455,3897826331821,3897826433150,3897826439194,101329
3,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,2,70254,70254,28416,256,22528,1104,128,0,64,64,"0x0","0x79e4fafc69c0",3897827037106,3897827459038,3897828131753,3897828820085,672715
4,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,3,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827043570,3897828131753,3897828153233,3897828832784,21480
5,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,4,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827047211,3897828153233,3897828176640,3897828837676,23407
6,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,5,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827050428,3897828176640,3897828199750,3897828841685,23110
7,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,6,70254,70254,21504,384,32768,1432,128,0,48,64,"0x0","0x79e4fafc6a40",3897827073515,3897829005053,3897829524145,3897829570218,519092
8,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,7,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827076186,3897829593772,3897829620882,3897829644599,27110
9,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,8,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827078536,3897829620882,3897829644436,3897829649263,23554
10,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,9,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827081471,3897829644436,3897829667695,3897829719208,23259
11,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,10,70254,70254,28416,256,22528,1104,128,0,64,64,"0x0","0x79e4fafc69c0",3897827084363,3897829877613,3897830562031,3897830606819,684418
12,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,11,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827086542,3897830562031,3897830583660,3897830614581,21629
13,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,12,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827088485,3897830583660,3897830606770,3897830618420,23110
14,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,13,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827090137,3897830606770,3897830629584,3897830682464,22814
15,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,14,70254,70254,21504,384,32768,1432,128,0,48,64,"0x0","0x79e4fafc6a40",3897827092858,3897830839798,3897831360371,3897831407658,520573
16,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,15,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827095119,3897831430443,3897831457701,3897831480813,27258
17,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,16,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827097069,3897831457701,3897831480959,3897831484926,23258
18,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,17,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827098806,3897831480959,3897831504070,3897831547828,23111
19,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,18,70254,70254,28416,256,22528,1104,128,0,64,64,"0x0","0x79e4fafc69c0",3897827101482,3897831714136,3897832404776,3897832453338,690640
20,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,19,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827103235,3897832404776,3897832425961,3897832466316,21185
21,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,20,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827105368,3897832425961,3897832449663,3897832470464,23702
22,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,21,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827106929,3897832449663,3897832473070,3897832534674,23407
23,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,22,70254,70254,21504,384,32768,1432,128,0,48,64,"0x0","0x79e4fafc6a40",3897827109352,3897832683432,3897833203857,3897833250805,520425
24,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,23,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827111446,3897833273188,3897833300446,3897833321943,27258
25,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,24,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827113244,3897833300446,3897833324149,3897833384298,23703
26,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,25,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827114907,3897833324149,3897833347111,3897833388254,22962
27,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,26,70254,70254,28416,256,22528,1104,128,0,64,64,"0x0","0x79e4fafc69c0",3897827117182,3897833557029,3897834242188,3897834293022,685159
28,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,27,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827118879,3897834242188,3897834263224,3897834304841,21036
29,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,28,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827120726,3897834263224,3897834287075,3897834312729,23851
30,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,29,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827122376,3897834287075,3897834309889,3897834316156,22814
31,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,30,70254,70254,21504,384,32768,1432,128,0,48,64,"0x0","0x79e4fafc6a40",3897827124777,3897834520400,3897835039047,3897835085821,518647
32,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,31,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827127844,3897835111637,3897835138154,3897835159865,26517
33,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,32,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827130048,3897835138154,3897835161265,3897835163915,23111
34,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,33,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827132621,3897835161265,3897835184523,3897835226127,23258
35,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,34,70254,70254,28416,256,22528,1104,128,0,64,64,"0x0","0x79e4fafc69c0",3897827135279,3897835394589,3897836079156,3897836130869,684567
36,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,35,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827137594,3897836079156,3897836100785,3897836138314,21629
37,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,36,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827139736,3897836100785,3897836124191,3897836141934,23406
38,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,37,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827141569,3897836124191,3897836147005,3897836151539,22814
39,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,38,70254,70254,21504,384,32768,1432,128,0,48,64,"0x0","0x79e4fafc6a40",3897827144258,3897836357219,3897836875718,3897836918949,518499
40,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,39,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897827146328,3897836946975,3897836974085,3897836995049,27110
41,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,40,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897827148555,3897836974085,3897836997343,3897837100358,23258
