"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",4,0,0,70325,70325,3584,256,0,0,12,0,32,64,"0x0","0x70100b2ed740",3898469545382,3898469616512,3898469624215,3898469634717,7703
1,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,0,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898472688551,3898472703817,3898472727520,3898472729849,23703
2,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,1,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898472696473,3898472727520,3898472750334,3898472752098,22814
3,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,2,70325,70325,28416,256,22528,1104,128,0,64,64,"0x0","0x70100b2a69c0",3898473393296,3898473815188,3898474488351,3898475169906,673163
4,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,3,70325,70325,6144,256,512,0,20,0,32,64,"0x0","0x70100b2a6880",3898473399237,3898474488351,3898474509239,3898475182739,20888
5,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,4,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898473403340,3898474509239,3898474532646,3898475187078,23407
6,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,5,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898473406350,3898474532646,3898474555608,3898475190865,22962
7,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,6,70325,70325,21504,384,32768,1432,128,0,48,64,"0x0","0x70100b2a6a40",3898473427004,3898475360174,3898475878083,3898475923459,517909
8,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,7,70325,70325,6144,256,512,0,20,0,32,64,"0x0","0x70100b2a6880",3898473429669,3898475950673,3898475977635,3898475998451,26962
9,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,8,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898473432164,3898475977635,3898476000894,3898476007898,23259
