"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",4,0,0,70119,70119,3584,256,0,0,12,0,32,64,"0x0","0x7c8642ff5740",3896526411972,3896526490020,3896526496982,3896526507279,6962
1,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,0,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896529501219,3896529515548,3896529539399,3896529543908,23851
2,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,1,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896529508858,3896529539399,3896529562361,3896529564295,22962
3,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,2,70119,70119,28416,256,22528,1104,128,0,64,64,"0x0","0x7c853fac69c0",3896530209731,3896530631807,3896531315785,3896531906682,683978
4,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,3,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896530216519,3896531315785,3896531337710,3896531920843,21925
5,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,4,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530220638,3896531337710,3896531361117,3896531923560,23407
6,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,5,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530223621,3896531361117,3896531384079,3896531925817,22962
7,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,6,70119,70119,21504,384,32768,1432,128,0,48,64,"0x0","0x7c853fac6a40",3896530242611,3896531990873,3896532506116,3896532585623,515243
8,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,7,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896530245098,3896532635741,3896532662703,3896532671955,26962
9,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,8,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530247577,3896532662703,3896532686110,3896532702793,23407
10,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,9,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530250355,3896532686110,3896532709368,3896532710934,23258
11,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,10,70119,70119,28416,256,22528,1104,128,0,64,64,"0x0","0x7c853fac69c0",3896530253213,3896532919139,3896533595857,3896533675248,676718
12,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,11,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896530255814,3896533595857,3896533616746,3896533686603,20889
13,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,12,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530257852,3896533616746,3896533640300,3896533688893,23554
14,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,13,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530259671,3896533640300,3896533663559,3896533690696,23259
15,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,14,70119,70119,21504,384,32768,1432,128,0,48,64,"0x0","0x7c853fac6a40",3896530262275,3896533873774,3896534395979,3896534473163,522205
16,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,15,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896530264338,3896534518790,3896534545752,3896534555057,26962
17,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,16,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530266447,3896534545752,3896534569455,3896534585696,23703
18,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,17,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530268228,3896534569455,3896534592713,3896534616931,23258
19,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,18,70119,70119,28416,256,22528,1104,128,0,64,64,"0x0","0x7c853fac69c0",3896530270588,3896534802780,3896535481425,3896535559639,678645
20,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,19,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896530272313,3896535481425,3896535502757,3896535574164,21332
21,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,20,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530274041,3896535502757,3896535526460,3896535576413,23703
22,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,21,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530275754,3896535526460,3896535549719,3896535578083,23259
23,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,22,70119,70119,21504,384,32768,1432,128,0,48,64,"0x0","0x7c853fac6a40",3896530278066,3896535760082,3896536274287,3896536356398,514205
24,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,23,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896530279937,3896536404357,3896536430726,3896536440839,26369
25,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,24,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530281752,3896536430726,3896536454281,3896536471765,23555
26,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,25,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896530283659,3896536454281,3896536477243,3896536501447,22962
27,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,26,70119,70119,28416,256,22528,1104,128,0,64,64,"0x0","0x7c853fac69c0",3896530286038,3896536699903,3896537385806,3896537464159,685903
