"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",4,0,0,69986,69986,3584,256,0,0,12,0,32,64,"0x0","0x79e1d89f5740",3895242684253,3895242780839,3895242788839,3895242798697,8000
1,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,0,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246090672,3895246138958,3895246242955,3895246249724,103997
2,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,1,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246097277,3895246242955,3895246344730,3895246350663,101775
3,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,2,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895246915013,3895247336403,3895248011198,3895248615162,674795
4,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,3,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895246920925,3895248011198,3895248032382,3895248629596,21184
5,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,4,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246924389,3895248032382,3895248056085,3895248634591,23703
6,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,5,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246928027,3895248056085,3895248079196,3895248638606,23111
7,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,6,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895246946773,3895248686140,3895249205680,3895249354458,519540
8,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,7,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895246949444,3895249384786,3895249411600,3895249435346,26814
9,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,8,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246952032,3895249411600,3895249435155,3895249440450,23555
10,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,9,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246954066,3895249435155,3895249458413,3895249521934,23258
11,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,10,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895246957258,3895249668629,3895250347868,3895250496876,679239
12,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,11,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895246959565,3895250347868,3895250368904,3895250515642,21036
13,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,12,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246961636,3895250368904,3895250392459,3895250520365,23555
14,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,13,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246963497,3895250392459,3895250415717,3895250524213,23258
15,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,14,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895246966433,3895250626081,3895251142806,3895251256482,516725
16,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,15,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895246968197,3895251268580,3895251295839,3895251337113,27259
17,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,16,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246969892,3895251295839,3895251319246,3895251342219,23407
18,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,17,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246971517,3895251319246,3895251342060,3895251346148,22814
19,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,18,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895246973822,3895251551979,3895252224403,3895252338559,672424
20,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,19,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895246975919,3895252224403,3895252245884,3895252362477,21481
21,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,20,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246977991,3895252245884,3895252269439,3895252367394,23555
22,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,21,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246979423,3895252269439,3895252292549,3895252371086,23110
23,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,22,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895246981730,3895252503062,3895253019194,3895253136101,516132
24,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,23,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895246983600,3895253146894,3895253173263,3895253215680,26369
25,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,24,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246985248,3895253173263,3895253196818,3895253221026,23555
26,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,25,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246986786,3895253196818,3895253219929,3895253224782,23111
27,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,26,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895246989012,3895253429996,3895254109531,3895254222479,679535
28,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,27,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895246990895,3895254109531,3895254130123,3895254240654,20592
29,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,28,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246992667,3895254130123,3895254153382,3895254251717,23259
30,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,29,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895246994233,3895254153382,3895254176344,3895254255588,22962
31,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,30,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895246996483,3895254386708,3895254902692,3895254982493,515984
32,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,31,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895246998378,3895255030244,3895255056317,3895255125532,26073
33,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,32,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247004828,3895255056317,3895255079724,3895255141873,23407
34,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,33,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247006409,3895255079724,3895255103131,3895255144423,23407
35,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,34,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895247008981,3895255313050,3895255991845,3895256104304,678795
36,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,35,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895247010610,3895255991845,3895256013474,3895256115697,21629
37,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,36,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247012395,3895256013474,3895256036584,3895256117997,23110
38,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,37,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247013968,3895256036584,3895256059842,3895256124538,23258
39,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,38,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895247016197,3895256270058,3895256789006,3895256869720,518948
40,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,39,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895247017910,3895256913446,3895256940705,3895256951688,27259
41,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,40,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247020094,3895256940705,3895256964111,3895256982324,23406
42,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,41,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247021557,3895256964111,3895256987370,3895257015531,23259
43,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,42,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895247023892,3895257197289,3895257871639,3895257951957,674350
44,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,43,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895247026140,3895257871639,3895257892379,3895257961567,20740
45,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,44,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247028306,3895257892379,3895257915638,3895257963808,23259
46,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,45,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247030360,3895257915638,3895257938748,3895257965497,23110
47,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,46,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895247032717,3895258149112,3895258667319,3895258749298,518207
48,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,47,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895247035006,3895258792945,3895258820055,3895258829224,27110
49,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,48,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247036861,3895258820055,3895258843610,3895258859514,23555
50,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,49,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895247038837,3895258843610,3895258866572,3895258888065,22962
51,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,50,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895247041252,3895259076492,3895259753953,3895259836651,677461
52,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,51,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895247043189,3895259753953,3895259774841,3895259848183,20888
