== HOLE1 per-layer verify interior table — bin 5735aaf3e9ddd410, TP4 mtp k=2 T=3, rank 0
== source: [LTRACE] lines in HOLE1REMAP_serve.log (boot3, draft-vocab remap ON, count600, ~254 passes/window)
== columns: layer | body_us (device elapsed mixer->layer end incl mlp_tail+ARs) | ar_us (BOTH TP ARs of the layer, axpy incl) | nonAR_us
== FULL = full-attention layer (kHybridAttentionInterval=4), others GDN
== per-pass sums: body=138915.1 ms  ar=14533.1 ms  nonAR=124382.0 ms  (verify phase p50=203.0, OPTRACE)
layer   body_us    ar_us  nonAR_us kind
    0    2151.0    261.6    1889.4 GDN
    1    2171.2    262.8    1908.4 GDN
    2    2141.6    247.5    1894.1 GDN
    3    2164.4    203.3    1961.1 FULL
    4    2162.0    236.7    1925.3 GDN
    5    2151.8    229.6    1922.2 GDN
    6    2147.8    227.4    1920.4 GDN
    7    2167.6    203.7    1963.9 FULL
    8    2141.8    241.7    1900.1 GDN
    9    2154.3    221.6    1932.7 GDN
   10    2141.4    232.3    1909.1 GDN
   11    2134.8    207.1    1927.7 FULL
   12    2128.4    252.5    1875.9 GDN
   13    2130.8    229.3    1901.5 GDN
   14    2129.2    239.0    1890.2 GDN
   15    2121.4    218.1    1903.3 FULL
   16    2120.8    257.1    1863.7 GDN
   17    2121.9    229.1    1892.8 GDN
   18    2120.5    235.8    1884.7 GDN
   19    2114.0    215.6    1898.4 FULL
   20    2110.2    253.1    1857.1 GDN
   21    2109.8    230.3    1879.5 GDN
   22    2113.7    237.8    1875.9 GDN
   23    2113.8    212.0    1901.8 FULL
   24    2121.6    238.1    1883.5 GDN
   25    2128.9    227.4    1901.5 GDN
   26    2121.2    231.6    1889.6 GDN
   27    2271.5    223.3    2048.2 FULL
   28    2145.7    202.8    1942.9 GDN
   29    2191.2    200.5    1990.7 GDN
   30    2173.7    237.5    1936.2 GDN
   31    2313.8    246.7    2067.1 FULL
   32    2129.2    208.3    1920.9 GDN
   33    2187.3    203.9    1983.4 GDN
   34    2176.2    233.6    1942.6 GDN
   35    2325.2    260.8    2064.4 FULL
   36    2114.1    209.8    1904.3 GDN
   37    2173.9    201.7    1972.2 GDN
   38    2165.0    228.0    1937.0 GDN
   39    2309.4    243.1    2066.3 FULL
   40    2128.0    211.5    1916.5 GDN
   41    2170.6    209.2    1961.4 GDN
   42    2170.6    241.4    1929.2 GDN
   43    2302.1    241.7    2060.4 FULL
   44    2129.2    211.1    1918.1 GDN
   45    2177.7    203.9    1973.8 GDN
   46    2159.1    231.1    1928.0 GDN
   47    2309.3    241.3    2068.0 FULL
   48    2131.8    209.2    1922.6 GDN
   49    2161.8    209.9    1951.9 GDN
   50    2159.5    222.0    1937.5 GDN
   51    2302.6    238.5    2064.1 FULL
   52    2133.4    212.3    1921.1 GDN
   53    2170.4    206.6    1963.8 GDN
   54    2160.5    225.8    1934.7 GDN
   55    2313.9    250.4    2063.5 FULL
   56    2117.1    213.2    1903.9 GDN
   57    2165.1    197.1    1968.0 GDN
   58    2152.5    224.4    1928.1 GDN
   59    2305.6    238.1    2067.5 FULL
   60    2137.1    214.8    1922.3 GDN
   61    2174.4    210.4    1964.0 GDN
   62    2168.0    238.2    1929.8 GDN
   63    2302.8    248.6    2054.2 FULL

== contrast: boot1 (HOLE1_serve.log, SAME binary+env, draft-vocab remap BROKEN by CWD) per-pass sums:
== body=140985.8 ms  ar=15105.3 ms — layer interior IDENTICAL to remap-on boot (content/remap-independent);
== the +142 ms/round remap delta lives ENTIRELY in the DRAFT side phases (propose 0.34->59.5, ar-chain 8.8->66.4, OPTRACE)
