== PREFILL DECAY CURVE — extracted from MTP3_serve.log (bin b864220912aec151, MTP k=2 graphs-ON, --prefill-chunk 128, plen=10000) 2026-09-17
== source lines: MTP3_serve.log:48-126 (req 1, the graded 10k leg) and :140-166 (req 2, zombie duplicate killed at 3200 — rates valid, grade n/a)
req  chunk_end_tok  chunk_wall_s  logged_rate_tok_s
1      128       0.00   n/a
1      256       5.29   24.2
1      384       5.30   24.1
1      512       5.32   24.0
1      640       5.33   24.0
1      768       5.35   23.9
1      896       5.36   23.9
1     1024       5.37   23.8
1     1152       5.39   23.8
1     1280       7.25   17.7
1     1408       8.87   14.4
1     1536       9.14   14.0
1     1664      10.19   12.6
1     1792       9.81   13.1
1     1920      10.16   12.6
1     2048      10.57   12.1
1     2176      11.16   11.5
1     2304      11.04   11.6
1     2432      11.55   11.1
1     2560      11.74   10.9
1     2688      11.40   11.2
1     2816      12.42   10.3
1     2944      12.31   10.4
1     3072      12.87   9.9
1     3200      12.05   10.6
1     3328      12.60   10.2
1     3456      13.03   9.8
1     3584      12.04   10.6
1     3712      12.49   10.2
1     3840      13.24   9.7
1     3968      12.86   10.0
1     4096      12.97   9.9
1     4224      12.55   10.2
1     4352      12.97   9.9
1     4480      13.01   9.8
1     4608      13.72   9.3
1     4736      13.29   9.6
1     4864      13.17   9.7
1     4992      13.02   9.8
1     5120      13.40   9.6
1     5248      13.43   9.5
1     5376      13.69   9.3
1     5504      13.44   9.5
1     5632      14.07   9.1
1     5760      13.09   9.8
1     5888      13.66   9.4
1     6016      13.77   9.3
1     6144      12.98   9.9
1     6272      13.50   9.5
1     6400      13.28   9.6
1     6528      13.64   9.4
1     6656      14.84   8.6
1     6784      13.13   9.7
1     6912      13.94   9.2
1     7040      13.65   9.4
1     7168      13.12   9.8
1     7296      14.12   9.1
1     7424      13.98   9.2
1     7552      14.52   8.8
1     7680      13.57   9.4
1     7808      14.41   8.9
1     7936      13.61   9.4
1     8064      13.54   9.5
1     8192      13.81   9.3
1     8320      14.20   9.0
1     8448      13.87   9.2
1     8576      13.58   9.4
1     8704      14.04   9.1
1     8832      14.49   8.8
1     8960      12.77   10.0
1     9088      13.92   9.2
1     9216      14.52   8.8
1     9344      13.87   9.2
1     9472      12.99   9.9
1     9600      14.19   9.0
1     9728      13.63   9.4
1     9856      13.19   9.7
1     9984      13.72   9.3
2      128       0.00   n/a
2      256      14.38   8.9
2      384      12.62   10.1
2      512      12.49   10.2
2      640      13.23   9.7
2      768      13.67   9.4
2      896      12.78   10.0
2     1024      13.53   9.5
2     1152      13.66   9.4
2     1280      14.00   9.1
2     1408      12.85   10.0
2     1536      14.02   9.1
2     1664      13.19   9.7
2     1792      13.15   9.7
2     1920      14.31   8.9
2     2048      13.15   9.7
2     2176      12.53   10.2
2     2304      13.94   9.2
2     2432      12.86   10.0
2     2560      13.67   9.4
2     2688      12.73   10.1
2     2816      13.38   9.6
2     2944      14.22   9.0
2     3072      13.01   9.8
2     3200      13.24   9.7

== REGIME SUMMARY (req 1, rates from log; walls corroborate):
PLATEAU  tok 128-1152 (chunks 2-9):   mean 24.0 tok/s (24.2 -> 23.8, flat)
KNEE     tok 1280-2176:               17.7 -> 11.5 (sharp drop over ~7 chunks / ~10 s of wall)
SLOW     tok 2304-9984:               settles ~12 -> 9.3 by 9984 (shallow slope ~ -0.4 tok/s per 1k tok)

== REQ-2 CONTRADICTION (zombie dup, fired 13 s after req 1 done, kvarn reset between, ran SOLO):
req 2 shallow chunks (tok 256-1152, SAME depths as req 1's 24 tok/s plateau): mean 9.7 tok/s (range 8.9-10.2) — NO plateau
=> depth alone does NOT set the rate: same depths, same machine, 9.5 vs 24. Candidate states: (a) thermal/clock throttle after ~17 min sustained TP4 load, (b) KV pool/allocator state post-10k (kvarn reset does not restore the fast regime), (c) engine-level cache/page dirtiness. DECISIVE FALSIFIER: cold boot -> immediate ~1.2k-chunk prefill (expect plateau) -> immediate re-fire (if 9.x, state wins over depth; rocm-smi clocks/temp sideband names WHICH state).
