14:59:49 card0=300MhzMHz,52000mC card2=300MhzMHz,50000mC card3=1350MhzMHz,46000mC card4=1350MhzMHz,49000mC
14:59:51 card0=991MhzMHz,54000mC card2=775MhzMHz,52000mC card3=991MhzMHz,48000mC card4=775MhzMHz,50000mC
14:59:53 card0=991MhzMHz,56000mC card2=775MhzMHz,54000mC card3=991MhzMHz,50000mC card4=775MhzMHz,52000mC
14:59:55 card0=1350MhzMHz,58000mC card2=1500MhzMHz,54000mC card3=991MhzMHz,52000mC card4=991MhzMHz,53000mC
14:59:57 card0=991MhzMHz,59000mC card2=991MhzMHz,55000mC card3=991MhzMHz,54000mC card4=991MhzMHz,54000mC
14:59:59 card0=1269MhzMHz,61000mC card2=1500MhzMHz,56000mC card3=1350MhzMHz,55000mC card4=1138MhzMHz,56000mC
15:00:01 card0=991MhzMHz,62000mC card2=991MhzMHz,57000mC card3=775MhzMHz,56000mC card4=991MhzMHz,57000mC
15:00:03 card0=1350MhzMHz,63000mC card2=775MhzMHz,58000mC card3=991MhzMHz,57000mC card4=991MhzMHz,58000mC
15:00:05 card0=1269MhzMHz,65000mC card2=775MhzMHz,60000mC card3=991MhzMHz,59000mC card4=991MhzMHz,59000mC
15:00:07 card0=991MhzMHz,66000mC card2=991MhzMHz,62000mC card3=991MhzMHz,59000mC card4=775MhzMHz,60000mC
15:00:09 card0=991MhzMHz,67000mC card2=775MhzMHz,62000mC card3=1269MhzMHz,60000mC card4=1269MhzMHz,61000mC
15:00:11 card0=1269MhzMHz,69000mC card2=991MhzMHz,63000mC card3=991MhzMHz,61000mC card4=1269MhzMHz,62000mC
15:00:13 card0=775MhzMHz,70000mC card2=775MhzMHz,64000mC card3=775MhzMHz,62000mC card4=991MhzMHz,63000mC
15:00:15 card0=991MhzMHz,71000mC card2=775MhzMHz,65000mC card3=1269MhzMHz,63000mC card4=1138MhzMHz,64000mC
15:00:17 card0=1138MhzMHz,72000mC card2=1138MhzMHz,66000mC card3=991MhzMHz,64000mC card4=775MhzMHz,65000mC
15:00:19 card0=991MhzMHz,74000mC card2=775MhzMHz,67000mC card3=991MhzMHz,66000mC card4=1138MhzMHz,66000mC
15:00:21 card0=1500MhzMHz,75000mC card2=991MhzMHz,67000mC card3=775MhzMHz,66000mC card4=991MhzMHz,66000mC
15:00:23 card0=1500MhzMHz,77000mC card2=1500MhzMHz,68000mC card3=1269MhzMHz,67000mC card4=1138MhzMHz,68000mC
15:00:25 card0=991MhzMHz,78000mC card2=775MhzMHz,69000mC card3=991MhzMHz,69000mC card4=991MhzMHz,68000mC
15:00:27 card0=991MhzMHz,79000mC card2=775MhzMHz,69000mC card3=991MhzMHz,69000mC card4=775MhzMHz,69000mC
15:00:29 card0=1269MhzMHz,80000mC card2=991MhzMHz,71000mC card3=1269MhzMHz,70000mC card4=1269MhzMHz,70000mC
15:00:31 card0=1500MhzMHz,81000mC card2=775MhzMHz,72000mC card3=991MhzMHz,71000mC card4=1269MhzMHz,71000mC
15:00:33 card0=1350MhzMHz,82000mC card2=1500MhzMHz,72000mC card3=1269MhzMHz,72000mC card4=1138MhzMHz,72000mC
15:00:35 card0=775MhzMHz,84000mC card2=775MhzMHz,73000mC card3=991MhzMHz,73000mC card4=1350MhzMHz,73000mC
15:00:37 card0=1269MhzMHz,85000mC card2=1269MhzMHz,74000mC card3=1269MhzMHz,74000mC card4=1138MhzMHz,74000mC
15:00:39 card0=991MhzMHz,84000mC card2=1500MhzMHz,75000mC card3=1350MhzMHz,75000mC card4=1269MhzMHz,75000mC
15:00:41 card0=991MhzMHz,85000mC card2=1269MhzMHz,76000mC card3=1500MhzMHz,76000mC card4=1500MhzMHz,76000mC
