14:50:10 card0=300MhzMHz,41000mC card2=1350MhzMHz,39000mC card3=1350MhzMHz,38000mC card4=1350MhzMHz,40000mC
14:50:12 card0=1350MhzMHz,45000mC card2=1500MhzMHz,43000mC card3=1500MhzMHz,41000mC card4=1350MhzMHz,44000mC
14:50:15 card0=1500MhzMHz,47000mC card2=1500MhzMHz,44000mC card3=1350MhzMHz,44000mC card4=1269MhzMHz,45000mC
14:50:17 card0=1269MhzMHz,48000mC card2=1350MhzMHz,45000mC card3=1269MhzMHz,45000mC card4=1350MhzMHz,47000mC
14:50:19 card0=1500MhzMHz,50000mC card2=1138MhzMHz,47000mC card3=1350MhzMHz,46000mC card4=1500MhzMHz,47000mC
14:50:21 card0=1500MhzMHz,52000mC card2=1350MhzMHz,48000mC card3=1350MhzMHz,48000mC card4=1138MhzMHz,48000mC
14:50:23 card0=1350MhzMHz,53000mC card2=1269MhzMHz,49000mC card3=1500MhzMHz,49000mC card4=1500MhzMHz,49000mC
14:50:25 card0=1500MhzMHz,55000mC card2=1269MhzMHz,50000mC card3=1269MhzMHz,51000mC card4=1350MhzMHz,50000mC
14:50:27 card0=1500MhzMHz,56000mC card2=1500MhzMHz,51000mC card3=1350MhzMHz,52000mC card4=1269MhzMHz,51000mC
14:50:29 card0=1500MhzMHz,57000mC card2=1269MhzMHz,52000mC card3=1500MhzMHz,53000mC card4=1269MhzMHz,53000mC
14:50:31 card0=1138MhzMHz,59000mC card2=1269MhzMHz,53000mC card3=1500MhzMHz,55000mC card4=1350MhzMHz,54000mC
14:50:33 card0=1500MhzMHz,60000mC card2=1500MhzMHz,55000mC card3=1350MhzMHz,56000mC card4=1138MhzMHz,55000mC
14:50:35 card0=1269MhzMHz,61000mC card2=1269MhzMHz,55000mC card3=1138MhzMHz,57000mC card4=1138MhzMHz,56000mC
14:50:37 card0=1500MhzMHz,62000mC card2=1138MhzMHz,55000mC card3=775MhzMHz,58000mC card4=991MhzMHz,57000mC
14:50:39 card0=1138MhzMHz,64000mC card2=1350MhzMHz,58000mC card3=1269MhzMHz,59000mC card4=1269MhzMHz,58000mC
14:50:41 card0=1350MhzMHz,66000mC card2=1350MhzMHz,59000mC card3=1500MhzMHz,60000mC card4=1269MhzMHz,59000mC
